loan_id,customer_id,loan_amount,interest_rate,issue_date,loan_status,annual_income,employment_length,scheduled_payment_date,actual_payment_date,amount_due,amount_paid,DaysPastDue,OutstandingBalance,DelinquencyTier,PD,LGD,EAD,Expected_Loss
LN000014,10014,22261,23.49,2024-02-20,Current,52894,10+ years,2024-07-19,2024-07-20,1215.01,483.41,1,21777.59,Bucket 1 (Low Risk),0.02,0.6,21777.59,261.33108
LN000015,10015,40348,23.16,2023-06-28,Fully Paid,109975,3 years,2023-07-28,2023-07-27,1354.47,1414.92,-1,38933.08,Current,0.01,0.6,38933.08,233.59848000000002
LN000016,10016,25153,10.31,2022-09-04,Fully Paid,45645,<1 year,2023-08-30,2023-09-04,1473.58,1279.23,5,23873.77,Bucket 1 (Low Risk),0.02,0.6,23873.77,286.48524000000003
LN000017,10017,39911,19.79,2022-05-12,Late,169127,1 year,2022-10-09,2022-12-20,807.77,885.19,72,39025.81,Bucket 3 (High Risk),0.25,0.6,39025.81,5853.871499999999
LN000018,10018,18880,22.72,2024-02-13,Late,77730,10+ years,2024-07-12,2024-09-06,1079.85,995.63,56,17884.37,Bucket 2 (Medium Risk),0.08,0.6,17884.37,858.44976
LN000019,10019,33711,22.19,2023-04-08,Current,83903,<1 year,2023-10-05,2023-10-03,576.14,1005.97,-2,32705.03,Current,0.01,0.6,32705.03,196.23018
LN000020,10020,19432,6.13,2023-12-26,Late,85015,<1 year,2024-01-25,2024-03-12,585.61,163.77,47,19268.23,Bucket 2 (Medium Risk),0.08,0.6,19268.23,924.87504
LN000021,10021,48842,14.74,2023-07-07,Current,174695,5 years,2024-03-03,2024-03-04,1269.0,1241.54,1,47600.46,Bucket 1 (Low Risk),0.02,0.6,47600.46,571.20552
LN000022,10022,17478,7.7,2023-11-06,Current,136038,3 years,2024-07-03,2024-07-01,1481.0,1108.04,-2,16369.96,Current,0.01,0.6,16369.96,98.21976
LN000023,10023,11449,7.09,2024-01-16,Current,53644,1 year,2024-05-15,2024-05-16,468.22,943.54,1,10505.46,Bucket 1 (Low Risk),0.02,0.6,10505.46,126.06551999999999
LN000024,10024,17025,11.01,2022-09-13,Fully Paid,44761,3 years,2023-06-10,2023-06-09,1499.14,360.71,-1,16664.29,Current,0.01,0.6,16664.29,99.98574
LN000025,10025,5967,23.44,2024-02-11,Fully Paid,68597,3 years,2024-10-08,2024-10-13,781.25,556.5,5,5410.5,Bucket 1 (Low Risk),0.02,0.6,5410.5,64.926
LN000026,10026,8842,8.96,2022-01-03,Fully Paid,94521,3 years,2022-06-02,2022-06-06,1176.61,1135.91,4,7706.09,Bucket 1 (Low Risk),0.02,0.6,7706.09,92.47308000000001
LN000027,10027,41422,17.91,2023-05-14,Current,102780,1 year,2023-06-13,2023-06-11,368.6,1197.57,-2,40224.43,Current,0.01,0.6,40224.43,241.34658000000002
LN000028,10028,43284,14.58,2024-05-23,In Grace Period,39910,5 years,2024-07-22,2024-07-22,381.55,382.23,0,42901.77,Bucket 1 (Low Risk),0.02,0.6,42901.77,514.82124
LN000029,10029,20414,13.27,2023-08-07,Current,35418,5 years,2023-10-06,2023-10-10,978.27,1088.85,4,19325.15,Bucket 1 (Low Risk),0.02,0.6,19325.15,231.9018
LN000030,10030,25733,22.82,2022-07-29,Late,107361,1 year,2022-12-26,2023-02-19,1074.6,217.79,55,25515.21,Bucket 2 (Medium Risk),0.08,0.6,25515.21,1224.73008
LN000031,10031,34964,11.69,2024-02-09,Fully Paid,27441,3 years,2024-12-05,2024-12-04,555.79,387.91,-1,34576.09,Current,0.01,0.6,34576.09,207.45654
LN000032,10032,22380,8.38,2022-12-24,Fully Paid,89037,2 years,2023-05-23,2023-05-23,951.86,825.82,0,21554.18,Bucket 1 (Low Risk),0.02,0.6,21554.18,258.65016
LN000033,10033,24825,17.01,2024-04-06,Late,27050,10+ years,2025-01-01,2025-02-13,424.3,938.58,43,23886.42,Bucket 2 (Medium Risk),0.08,0.6,23886.42,1146.54816
LN000034,10034,13800,10.76,2022-04-20,Late,65749,2 years,2022-09-17,2022-12-08,711.46,289.57,82,13510.43,Bucket 3 (High Risk),0.25,0.6,13510.43,2026.5645
LN000035,10035,46565,21.35,2023-06-02,Current,38316,<1 year,2024-04-27,2024-05-01,352.9,1295.22,4,45269.78,Bucket 1 (Low Risk),0.02,0.6,45269.78,543.23736
LN000036,10036,26859,19.88,2023-10-15,Fully Paid,67357,10+ years,2024-06-11,2024-06-15,434.25,973.09,4,25885.91,Bucket 1 (Low Risk),0.02,0.6,25885.91,310.63092
LN000037,10037,14768,15.82,2024-05-04,Current,169841,1 year,2024-11-30,2024-11-30,737.58,350.19,0,14417.81,Bucket 1 (Low Risk),0.02,0.6,14417.81,173.01372
LN000038,10038,7614,22.18,2022-08-04,Late,51946,2 years,2023-05-01,2023-06-27,1199.37,976.45,57,6637.55,Bucket 2 (Medium Risk),0.08,0.6,6637.55,318.6024
LN000039,10039,20514,21.56,2024-03-30,Fully Paid,133080,<1 year,2024-06-28,2024-07-01,794.06,1238.86,3,19275.14,Bucket 1 (Low Risk),0.02,0.6,19275.14,231.30168
LN000040,10040,48903,21.55,2024-04-10,Current,66732,10+ years,2024-06-09,2024-06-13,1330.31,1346.6,4,47556.4,Bucket 1 (Low Risk),0.02,0.6,47556.4,570.6768000000001
LN000041,10041,19577,9.59,2023-04-17,Current,84662,1 year,2023-05-17,2023-05-18,634.32,778.16,1,18798.84,Bucket 1 (Low Risk),0.02,0.6,18798.84,225.58608
LN000042,10042,9549,23.4,2022-10-13,Current,158537,3 years,2023-09-08,2023-09-11,438.41,1427.08,3,8121.92,Bucket 1 (Low Risk),0.02,0.6,8121.92,97.46304
LN000043,10043,22118,9.21,2022-09-29,Current,138918,2 years,2023-09-24,2023-09-27,1481.08,823.67,3,21294.33,Bucket 1 (Low Risk),0.02,0.6,21294.33,255.53196000000003
LN000044,10044,12578,12.93,2023-08-14,Current,36635,10+ years,2024-03-11,2024-03-09,1267.81,923.9,-2,11654.1,Current,0.01,0.6,11654.1,69.9246
LN000045,10045,48950,9.55,2023-03-18,Current,111559,5 years,2023-09-14,2023-09-13,660.39,1163.71,-1,47786.29,Current,0.01,0.6,47786.29,286.71774
LN000046,10046,25269,18.0,2022-12-01,Current,102504,5 years,2023-03-01,2023-03-02,1428.44,804.54,1,24464.46,Bucket 1 (Low Risk),0.02,0.6,24464.46,293.57352
LN000047,10047,49388,19.47,2022-06-28,Late,103892,3 years,2023-03-25,2023-03-30,552.22,373.49,5,49014.51,Bucket 1 (Low Risk),0.02,0.6,49014.51,588.17412
LN000048,10048,43009,16.92,2022-11-26,Current,140909,10+ years,2023-03-26,2023-03-31,1451.8,1252.48,5,41756.52,Bucket 1 (Low Risk),0.02,0.6,41756.52,501.07824
LN000049,10049,16120,17.86,2022-10-18,In Grace Period,112867,<1 year,2023-02-15,2023-02-17,538.96,569.57,2,15550.43,Bucket 1 (Low Risk),0.02,0.6,15550.43,186.60516
LN000050,10050,6600,6.83,2023-05-02,Late,44091,3 years,2023-11-28,2024-02-21,1162.02,618.1,85,5981.9,Bucket 3 (High Risk),0.25,0.6,5981.9,897.285
LN000051,10051,30164,14.9,2022-09-07,Current,26453,<1 year,2023-04-05,2023-04-06,1449.56,511.06,1,29652.94,Bucket 1 (Low Risk),0.02,0.6,29652.94,355.83528
LN000052,10052,38944,14.36,2023-07-25,Current,56813,3 years,2023-10-23,2023-10-28,1485.47,1101.09,5,37842.91,Bucket 1 (Low Risk),0.02,0.6,37842.91,454.11492000000004
LN000053,10053,44023,11.71,2024-02-13,Fully Paid,157324,3 years,2024-11-09,2024-11-14,1192.39,1376.65,5,42646.35,Bucket 1 (Low Risk),0.02,0.6,42646.35,511.7562
LN000054,10054,36108,14.1,2024-02-09,Current,97695,5 years,2024-10-06,2024-10-07,392.98,629.52,1,35478.48,Bucket 1 (Low Risk),0.02,0.6,35478.48,425.74176000000006
LN000055,10055,23725,10.22,2022-12-10,Current,166597,<1 year,2023-03-10,2023-03-10,1132.74,577.51,0,23147.49,Bucket 1 (Low Risk),0.02,0.6,23147.49,277.76988
LN000056,10056,19021,7.16,2023-02-22,Current,147139,3 years,2023-03-24,2023-03-25,767.37,1299.47,1,17721.53,Bucket 1 (Low Risk),0.02,0.6,17721.53,212.65836
LN000057,10057,43278,23.03,2022-01-21,Fully Paid,175913,3 years,2022-09-18,2022-09-16,658.34,1431.29,-2,41846.71,Current,0.01,0.6,41846.71,251.08026
LN000058,10058,30558,21.36,2024-05-05,Current,168165,5 years,2024-09-02,2024-09-07,823.0,563.31,5,29994.69,Bucket 1 (Low Risk),0.02,0.6,29994.69,359.93628
LN000059,10059,6902,13.0,2023-11-16,Late,130989,10+ years,2024-02-14,2024-04-18,1476.87,927.59,64,5974.41,Bucket 3 (High Risk),0.25,0.6,5974.41,896.1614999999999
LN000060,10060,40004,6.49,2023-02-08,In Grace Period,32104,<1 year,2024-01-04,2024-01-08,854.04,462.84,4,39541.16,Bucket 1 (Low Risk),0.02,0.6,39541.16,474.49392000000006
LN000061,10061,8295,10.68,2022-12-02,Current,110680,2 years,2023-06-30,2023-07-02,1298.31,1202.41,2,7092.59,Bucket 1 (Low Risk),0.02,0.6,7092.59,85.11108
LN000062,10062,21532,21.03,2023-04-27,Current,166405,<1 year,2023-10-24,2023-10-25,1237.48,1080.17,1,20451.83,Bucket 1 (Low Risk),0.02,0.6,20451.83,245.42196
LN000063,10063,47713,6.72,2022-02-01,Fully Paid,77261,<1 year,2022-11-28,2022-11-28,868.27,586.25,0,47126.75,Bucket 1 (Low Risk),0.02,0.6,47126.75,565.521
LN000064,10064,12496,16.15,2022-08-12,Current,92172,2 years,2022-11-10,2022-11-09,496.52,1233.35,-1,11262.65,Current,0.01,0.6,11262.65,67.5759
LN000065,10065,25384,7.95,2022-01-27,Fully Paid,175941,10+ years,2022-08-25,2022-08-29,538.0,1429.76,4,23954.24,Bucket 1 (Low Risk),0.02,0.6,23954.24,287.45088000000004
LN000066,10066,43803,18.43,2023-10-05,Current,104058,10+ years,2024-07-31,2024-07-30,979.12,1255.47,-1,42547.53,Current,0.01,0.6,42547.53,255.28518
LN000067,10067,7691,12.25,2023-03-15,Late,43076,5 years,2024-02-08,2024-03-27,804.07,111.39,48,7579.61,Bucket 2 (Medium Risk),0.08,0.6,7579.61,363.82128
LN000068,10068,37125,7.9,2023-01-06,Late,145517,10+ years,2023-04-06,2023-06-05,926.1,258.52,60,36866.48,Bucket 2 (Medium Risk),0.08,0.6,36866.48,1769.5910400000002
LN000069,10069,47628,10.86,2024-04-07,Fully Paid,151745,3 years,2024-11-03,2024-11-05,594.59,686.77,2,46941.23,Bucket 1 (Low Risk),0.02,0.6,46941.23,563.29476
LN000070,10070,10679,11.02,2023-04-07,Current,146820,5 years,2024-02-01,2024-02-05,893.17,703.68,4,9975.32,Bucket 1 (Low Risk),0.02,0.6,9975.32,119.70384
LN000071,10071,26300,9.27,2022-08-06,Current,92725,2 years,2023-01-03,2023-01-05,919.95,966.95,2,25333.05,Bucket 1 (Low Risk),0.02,0.6,25333.05,303.9966
LN000072,10072,17521,7.54,2024-01-08,Current,170536,1 year,2025-01-02,2025-01-07,888.99,1075.08,5,16445.92,Bucket 1 (Low Risk),0.02,0.6,16445.92,197.35103999999998
LN000073,10073,6130,7.67,2022-08-15,Current,88780,2 years,2023-07-11,2023-07-14,937.11,867.91,3,5262.09,Bucket 1 (Low Risk),0.02,0.6,5262.09,63.14508
LN000074,10074,32885,23.94,2023-07-18,Current,143946,2 years,2023-12-15,2023-12-17,1165.54,576.65,2,32308.35,Bucket 1 (Low Risk),0.02,0.6,32308.35,387.7002
LN000075,10075,25679,8.15,2023-07-03,Fully Paid,73535,1 year,2023-10-31,2023-11-05,1007.5,631.8,5,25047.2,Bucket 1 (Low Risk),0.02,0.6,25047.2,300.5664
LN000076,10076,39382,16.74,2022-04-13,Fully Paid,102659,1 year,2022-10-10,2022-10-10,1149.62,662.72,0,38719.28,Bucket 1 (Low Risk),0.02,0.6,38719.28,464.63136
LN000077,10077,13295,10.94,2022-02-25,In Grace Period,58103,10+ years,2022-10-23,2022-10-22,988.88,1347.26,-1,11947.74,Current,0.01,0.6,11947.74,71.68644
LN000078,10078,35762,14.62,2022-12-15,Current,38468,2 years,2023-08-12,2023-08-11,780.85,1286.54,-1,34475.46,Current,0.01,0.6,34475.46,206.85276
LN000079,10079,9855,16.39,2023-12-04,Current,64111,5 years,2024-05-02,2024-05-01,442.14,1492.7,-1,8362.3,Current,0.01,0.6,8362.3,50.1738
LN000080,10080,32274,16.91,2024-03-20,Late,161989,3 years,2024-11-15,2025-01-15,1006.23,367.62,61,31906.38,Bucket 3 (High Risk),0.25,0.6,31906.38,4785.957
LN000081,10081,33103,11.5,2023-09-28,Current,51013,1 year,2024-08-23,2024-08-24,397.42,617.58,1,32485.42,Bucket 1 (Low Risk),0.02,0.6,32485.42,389.82504
LN000082,10082,20719,9.13,2022-03-18,Current,132090,3 years,2023-03-13,2023-03-18,577.77,649.51,5,20069.49,Bucket 1 (Low Risk),0.02,0.6,20069.49,240.83388000000002
LN000083,10083,23528,18.65,2023-04-10,Current,86190,2 years,2024-03-05,2024-03-06,953.47,810.17,1,22717.83,Bucket 1 (Low Risk),0.02,0.6,22717.83,272.61396
LN000084,10084,47443,8.68,2022-09-30,Fully Paid,43719,<1 year,2022-12-29,2022-12-31,1289.09,1014.05,2,46428.95,Bucket 1 (Low Risk),0.02,0.6,46428.95,557.1474
LN000085,10085,23914,13.9,2023-04-25,Late,130515,2 years,2024-01-20,2024-04-03,396.53,544.42,74,23369.58,Bucket 3 (High Risk),0.25,0.6,23369.58,3505.4370000000004
LN000086,10086,7612,22.01,2024-01-23,Current,90632,<1 year,2024-03-23,2024-03-24,1303.15,1454.29,1,6157.71,Bucket 1 (Low Risk),0.02,0.6,6157.71,73.89252
LN000087,10087,42696,16.57,2022-01-22,Fully Paid,95650,5 years,2022-02-21,2022-02-21,1081.81,864.6,0,41831.4,Bucket 1 (Low Risk),0.02,0.6,41831.4,501.9768
LN000088,10088,23229,9.27,2023-08-23,Current,153902,<1 year,2024-04-19,2024-04-22,685.27,790.02,3,22438.98,Bucket 1 (Low Risk),0.02,0.6,22438.98,269.26776
LN000089,10089,11855,21.44,2022-12-04,Current,154884,2 years,2023-10-30,2023-11-03,960.12,1276.28,4,10578.72,Bucket 1 (Low Risk),0.02,0.6,10578.72,126.94463999999999
LN000090,10090,34807,7.59,2022-09-16,Current,130952,5 years,2022-10-16,2022-10-21,525.1,795.9,5,34011.1,Bucket 1 (Low Risk),0.02,0.6,34011.1,408.1332
LN000091,10091,28709,17.21,2023-05-26,Late,38529,1 year,2023-10-23,2024-01-06,645.63,217.91,75,28491.09,Bucket 3 (High Risk),0.25,0.6,28491.09,4273.6635
LN000092,10092,36766,8.19,2023-10-08,Late,87730,10+ years,2024-01-06,2024-02-19,962.7,595.76,44,36170.24,Bucket 2 (Medium Risk),0.08,0.6,36170.24,1736.1715199999999
LN000093,10093,11108,10.04,2024-05-11,Fully Paid,145965,<1 year,2025-04-06,2025-04-06,1159.92,898.05,0,10209.95,Bucket 1 (Low Risk),0.02,0.6,10209.95,122.5194
LN000094,10094,38349,18.7,2023-03-02,Fully Paid,148789,1 year,2023-10-28,2023-10-28,1406.24,760.3,0,37588.7,Bucket 1 (Low Risk),0.02,0.6,37588.7,451.0644
LN000095,10095,38308,19.43,2022-05-20,Fully Paid,97416,3 years,2022-11-16,2022-11-18,639.41,1284.66,2,37023.34,Bucket 1 (Low Risk),0.02,0.6,37023.34,444.28007999999994
LN000096,10096,24566,21.07,2023-08-17,Fully Paid,153356,1 year,2024-04-13,2024-04-18,962.3,714.15,5,23851.85,Bucket 1 (Low Risk),0.02,0.6,23851.85,286.2222
LN000097,10097,40614,12.79,2022-11-26,Fully Paid,87601,5 years,2023-06-24,2023-06-25,792.93,1327.22,1,39286.78,Bucket 1 (Low Risk),0.02,0.6,39286.78,471.44136
LN000098,10098,25852,19.4,2023-12-24,Fully Paid,124937,3 years,2024-11-18,2024-11-18,344.42,894.39,0,24957.61,Bucket 1 (Low Risk),0.02,0.6,24957.61,299.49132000000003
LN000099,10099,37918,23.38,2022-12-06,Fully Paid,140423,<1 year,2023-09-02,2023-09-07,472.99,318.42,5,37599.58,Bucket 1 (Low Risk),0.02,0.6,37599.58,451.19496000000004
LN000100,10100,47911,23.46,2022-03-18,Current,94474,2 years,2023-01-12,2023-01-16,1322.12,1079.8,4,46831.2,Bucket 1 (Low Risk),0.02,0.6,46831.2,561.9744
LN000101,10101,49194,21.47,2023-01-25,Fully Paid,152912,5 years,2023-02-24,2023-02-23,1121.28,581.72,-1,48612.28,Current,0.01,0.6,48612.28,291.67368
LN000102,10102,23833,23.95,2024-02-04,Current,50806,10+ years,2025-01-29,2025-01-28,1132.8,832.41,-1,23000.59,Current,0.01,0.6,23000.59,138.00354000000002
LN000103,10103,6897,6.83,2024-03-26,Current,118969,2 years,2024-10-22,2024-10-22,794.46,593.04,0,6303.96,Bucket 1 (Low Risk),0.02,0.6,6303.96,75.64752
LN000104,10104,49682,20.27,2022-06-24,Current,125281,5 years,2023-05-20,2023-05-21,999.79,897.2,1,48784.8,Bucket 1 (Low Risk),0.02,0.6,48784.8,585.4176
LN000105,10105,20216,14.3,2022-09-18,Current,27463,3 years,2023-02-15,2023-02-15,1434.28,388.63,0,19827.37,Bucket 1 (Low Risk),0.02,0.6,19827.37,237.92844
LN000106,10106,43507,11.38,2023-03-11,Late,144756,2 years,2023-07-09,2023-09-01,427.98,868.0,54,42639.0,Bucket 2 (Medium Risk),0.08,0.6,42639.0,2046.672
LN000107,10107,29993,16.29,2023-08-12,Current,102392,<1 year,2024-07-07,2024-07-11,979.11,629.38,4,29363.62,Bucket 1 (Low Risk),0.02,0.6,29363.62,352.36343999999997
LN000108,10108,49944,20.01,2022-02-20,Fully Paid,155214,2 years,2022-06-20,2022-06-23,528.16,562.81,3,49381.19,Bucket 1 (Low Risk),0.02,0.6,49381.19,592.57428
LN000109,10109,21425,18.2,2024-01-09,Default,60855,10+ years,2024-03-09,,1384.08,0.0,849,21425.0,Default / Write-Off,1.0,0.6,21425.0,12855.0
LN000110,10110,47358,6.71,2024-03-18,Current,176931,2 years,2025-03-13,2025-03-13,654.13,408.16,0,46949.84,Bucket 1 (Low Risk),0.02,0.6,46949.84,563.3980799999999
LN000111,10111,32230,9.16,2022-05-16,Default,120907,5 years,2023-02-10,,1396.18,0.0,1242,32230.0,Default / Write-Off,1.0,0.6,32230.0,19338.0
LN000112,10112,15783,10.63,2024-04-24,Fully Paid,102369,10+ years,2024-10-21,2024-10-20,390.36,862.0,-1,14921.0,Current,0.01,0.6,14921.0,89.526
LN000113,10113,19785,21.48,2024-01-12,Late,129179,5 years,2024-07-10,2024-07-26,316.7,811.61,16,18973.39,Bucket 1 (Low Risk),0.02,0.6,18973.39,227.68068
LN000114,10114,40164,8.22,2023-01-13,Late,93724,5 years,2023-08-11,2023-11-05,430.02,946.26,86,39217.74,Bucket 3 (High Risk),0.25,0.6,39217.74,5882.660999999999
LN000115,10115,20323,14.49,2023-09-27,Fully Paid,172169,2 years,2024-07-23,2024-07-24,1062.48,1077.18,1,19245.82,Bucket 1 (Low Risk),0.02,0.6,19245.82,230.94984
LN000116,10116,35426,22.37,2022-11-06,Late,55585,1 year,2022-12-06,2022-12-15,891.15,373.93,9,35052.07,Bucket 1 (Low Risk),0.02,0.6,35052.07,420.62484
LN000117,10117,11369,10.23,2023-07-05,Current,143919,2 years,2024-05-30,2024-06-03,1171.92,1004.81,4,10364.19,Bucket 1 (Low Risk),0.02,0.6,10364.19,124.37028000000001
LN000118,10118,32189,17.79,2024-05-03,Current,131985,2 years,2024-06-02,2024-06-05,833.64,560.72,3,31628.28,Bucket 1 (Low Risk),0.02,0.6,31628.28,379.53936
LN000119,10119,20473,21.4,2022-04-12,Fully Paid,121294,5 years,2023-03-08,2023-03-11,631.06,372.66,3,20100.34,Bucket 1 (Low Risk),0.02,0.6,20100.34,241.20408
LN000120,10120,13005,23.08,2024-04-23,Current,80602,10+ years,2025-03-19,2025-03-17,700.21,360.69,-2,12644.31,Current,0.01,0.6,12644.31,75.86586
LN000121,10121,13252,20.17,2022-07-30,Current,170282,1 year,2023-05-26,2023-05-27,579.6,1275.66,1,11976.34,Bucket 1 (Low Risk),0.02,0.6,11976.34,143.71608
LN000122,10122,14670,20.2,2023-09-03,Current,62929,1 year,2024-05-30,2024-06-01,431.91,1258.22,2,13411.78,Bucket 1 (Low Risk),0.02,0.6,13411.78,160.94136
LN000123,10123,6689,8.37,2023-01-02,Default,87372,5 years,2023-07-01,,318.94,0.0,1101,6689.0,Default / Write-Off,1.0,0.6,6689.0,4013.3999999999996
LN000124,10124,22391,6.94,2024-01-30,Current,54792,10+ years,2024-03-30,2024-04-04,734.45,837.93,5,21553.07,Bucket 1 (Low Risk),0.02,0.6,21553.07,258.63684
LN000125,10125,43906,7.96,2023-05-31,Current,36367,10+ years,2024-04-25,2024-04-27,1456.83,849.65,2,43056.35,Bucket 1 (Low Risk),0.02,0.6,43056.35,516.6762
LN000126,10126,8986,23.97,2024-05-17,Current,53301,3 years,2025-05-12,2025-05-17,396.95,388.19,5,8597.81,Bucket 1 (Low Risk),0.02,0.6,8597.81,103.17372
LN000127,10127,44865,8.67,2022-05-10,Current,178449,5 years,2023-05-05,2023-05-08,1016.87,757.09,3,44107.91,Bucket 1 (Low Risk),0.02,0.6,44107.91,529.29492
LN000128,10128,24326,14.17,2023-09-12,Current,54992,10+ years,2024-08-07,2024-08-08,1365.71,816.08,1,23509.92,Bucket 1 (Low Risk),0.02,0.6,23509.92,282.11904
LN000129,10129,32119,12.1,2023-04-10,Current,49926,2 years,2023-11-06,2023-11-09,749.16,1098.13,3,31020.87,Bucket 1 (Low Risk),0.02,0.6,31020.87,372.25043999999997
LN000130,10130,15003,18.36,2023-05-01,Current,47377,<1 year,2023-11-27,2023-11-26,747.18,1193.51,-1,13809.49,Current,0.01,0.6,13809.49,82.85694
LN000131,10131,13527,16.01,2023-08-24,Fully Paid,172241,2 years,2024-07-19,2024-07-18,1348.33,792.97,-1,12734.03,Current,0.01,0.6,12734.03,76.40418000000001
LN000132,10132,32717,21.63,2024-01-09,Current,100400,5 years,2024-06-07,2024-06-10,908.9,424.32,3,32292.68,Bucket 1 (Low Risk),0.02,0.6,32292.68,387.51216
LN000133,10133,15140,17.82,2022-08-18,Fully Paid,116780,5 years,2023-02-14,2023-02-13,988.92,1215.13,-1,13924.87,Current,0.01,0.6,13924.87,83.54922
LN000134,10134,33122,21.21,2024-02-25,Fully Paid,170945,<1 year,2024-12-21,2024-12-23,627.92,334.74,2,32787.26,Bucket 1 (Low Risk),0.02,0.6,32787.26,393.44712000000004
LN000135,10135,25249,22.59,2022-12-26,Current,62552,5 years,2023-11-21,2023-11-25,1189.16,383.5,4,24865.5,Bucket 1 (Low Risk),0.02,0.6,24865.5,298.386
LN000136,10136,7009,7.65,2023-06-28,Current,135056,3 years,2023-12-25,2023-12-25,1165.92,744.06,0,6264.9400000000005,Bucket 1 (Low Risk),0.02,0.6,6264.9400000000005,75.17928
LN000137,10137,42197,16.73,2022-02-23,Current,38044,10+ years,2022-04-24,2022-04-26,808.82,831.74,2,41365.26,Bucket 1 (Low Risk),0.02,0.6,41365.26,496.38312
LN000138,10138,44785,13.96,2022-10-07,Current,159308,<1 year,2023-04-05,2023-04-09,1113.86,433.07,4,44351.93,Bucket 1 (Low Risk),0.02,0.6,44351.93,532.22316
LN000139,10139,43871,14.76,2023-11-15,Current,82807,3 years,2024-09-10,2024-09-08,661.7,309.22,-2,43561.78,Current,0.01,0.6,43561.78,261.37068
LN000140,10140,18843,19.81,2024-02-22,Current,111015,<1 year,2024-03-23,2024-03-28,510.83,1196.42,5,17646.58,Bucket 1 (Low Risk),0.02,0.6,17646.58,211.75896000000003
LN000141,10141,29917,15.59,2022-08-24,In Grace Period,117842,<1 year,2023-03-22,2023-03-20,851.71,823.46,-2,29093.54,Current,0.01,0.6,29093.54,174.56124
LN000142,10142,10102,21.52,2023-08-13,Current,131017,10+ years,2024-07-08,2024-07-12,786.04,647.42,4,9454.58,Bucket 1 (Low Risk),0.02,0.6,9454.58,113.45496
LN000143,10143,26284,9.09,2023-09-25,Current,119857,<1 year,2024-04-22,2024-04-21,1006.65,591.98,-1,25692.02,Current,0.01,0.6,25692.02,154.15212
LN000144,10144,39338,7.42,2024-06-10,Current,114001,1 year,2024-12-07,2024-12-07,1059.87,391.66,0,38946.34,Bucket 1 (Low Risk),0.02,0.6,38946.34,467.35607999999996
LN000145,10145,39773,15.18,2024-03-05,Current,63716,1 year,2024-05-04,2024-05-04,508.2,607.16,0,39165.84,Bucket 1 (Low Risk),0.02,0.6,39165.84,469.99008
LN000146,10146,15018,19.68,2023-11-03,Current,154529,3 years,2024-08-29,2024-09-03,1358.46,1117.36,5,13900.64,Bucket 1 (Low Risk),0.02,0.6,13900.64,166.80768
